username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;v_neg;v_neu;v_pos;v_com;tb_score
;2019-12-06 04:28;0;0;"C’est # LVMH qui a fait élire # Macron. Alors Boycottons toutes les marques du groupe # Arnault.";;;# # #;"1202882471852941319";https://twitter.com/sandrafellous_/status/1202882471852941319;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-06 03:29;0;0;"# LVMH possède déjà # Bulgari et # Chaumet. Quelles conséquences ce rachat pourrait avoir sur le secteur des bijoux haut de gamme ? Patricia Lecompte du service économie";;;# # #;"1202867593226403841";https://twitter.com/AppelsActu/status/1202867593226403841;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-06 03:29;0;0;"Le géant du luxe français # LVMH s’offre le joaillier new-yorkais # Tiffany. Qu’est-ce qui a motivé le rachat de Tiffany par LVMH, alors que sa rentabilité était en baisse ces dernières années?";;;# #;"1202867587924844544";https://twitter.com/AppelsActu/status/1202867587924844544;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-06 03:28;1;0;"# LVMH : Reuters avait indiqué par erreur une dégradation de recommandation, qui concernait en fait Tiffany.";;;#;"1202867354079825920";https://twitter.com/dom_finance/status/1202867354079825920;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-06 03:22;1;9;"Est il possible que le gouvernement US accepte qu une entreprise française # LVMH rachète 100 % du plus historique et grand joaillier de luxe américain # Tiffany ? 14 milliards de USD...https://twitter.com/montebourg/status/1202693272755408896 …";;;# #;"1202865803508568066";https://twitter.com/bonuscr/status/1202865803508568066;0.000000;0.903000;0.097000;0.458800;0.250000
;2019-12-06 03:10;0;1;"Les petits commerçants s’en porteront mieux. Boycott # LVMH # Sephora";;;# #;"1202862933212094464";https://twitter.com/sandrafellous_/status/1202862933212094464;0.223000;0.777000;0.000000;-0.318200;0.000000
;2019-12-06 02:21;0;1;"Et la @ NPolony et ses 27.000€/mois on en parle ? Oup's fallait pas le dire. Le Groupe # LVMH emplois 150.000 personne et à créé 14.000 emplois en 2018. Et des gens qui ne se plaignent pas de leur salaire. On gagne très bien sa vie chez # LVMH https://twitter.com/MarianneleMag/status/1202512328945815552 …";;@;# #;"1202850565027454978";https://twitter.com/MikePar35654485/status/1202850565027454978;0.064000;0.936000;0.000000;-0.458800;0.000000
;2019-12-05 20:01;0;0;"Tiffany Slips in Q3 As LVMH Waits to Take Control # tiffany # LVMH # louisvuitton # setyourhandsfreehttp://banner.divology.com/biz/mystrapy/content/5de91dbaa5201 …";;;# # # #;"1202755027355471872";https://twitter.com/Mystrapy_/status/1202755027355471872;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 18:21;0;0;"Sans les entreprises, on ne sauvera pas le monde - Par Bernard # Arnault https://www.lesechos.fr/idees-debats/cercle/ce-sont-les-entreprises-qui-sauveront-le-monde-1152771#utm_source=le%3Alec0f&utm_medium=click&utm_campaign=share-links_twitter … # LVMH cc @ JCTrehan";;@;# #utm_source #;"1202729715422896129";https://twitter.com/Aureli1enGiraux/status/1202729715422896129;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 18:09;0;1;"Vous êtes bien branleur chez # LVMH?";;;#;"1202726798762684416";https://twitter.com/profbzh29/status/1202726798762684416;0.000000;1.000000;0.000000;0.000000;0.000000
